n,scheme,trial,latency_us
128,lattice_only,269,44
128,hybrid,270,46
128,hash_only,270,1
128,lattice_only,270,68
128,hybrid,271,45
128,hash_only,271,1
128,lattice_only,271,43
128,hybrid,272,45
128,hash_only,272,1
128,lattice_only,272,43
128,hybrid,273,45
128,hash_only,273,1
128,lattice_only,273,41
128,hybrid,274,45
128,hash_only,274,1
128,lattice_only,274,43
128,hybrid,275,45
128,hash_only,275,1
128,lattice_only,275,41
128,hybrid,276,46
128,hash_only,276,1
128,lattice_only,276,43
128,hybrid,277,51
128,hash_only,277,1
128,lattice_only,277,43
128,hybrid,278,45
128,hash_only,278,1
128,lattice_only,278,43
128,hybrid,279,70
128,hash_only,279,1
128,lattice_only,279,42
128,hybrid,280,46
128,hash_only,280,1
128,lattice_only,280,44
128,hybrid,281,45
128,hash_only,281,1
128,lattice_only,281,42
128,hybrid,282,45
128,hash_only,282,1
128,lattice_only,282,42
128,hybrid,283,44
128,hash_only,283,1
128,lattice_only,283,42
128,hybrid,284,46
128,hash_only,284,1
128,lattice_only,284,43
128,hybrid,285,45
128,hash_only,285,1
128,lattice_only,285,47
128,hybrid,286,45
128,hash_only,286,1
128,lattice_only,286,41
128,hybrid,287,133
128,hash_only,287,1
128,lattice_only,287,44
128,hybrid,288,46
128,hash_only,288,1
128,lattice_only,288,43
128,hybrid,289,44
128,hash_only,289,1
128,lattice_only,289,41
128,hybrid,290,45
128,hash_only,290,1
128,lattice_only,290,43
128,hybrid,291,44
128,hash_only,291,1
128,lattice_only,291,43
128,hybrid,292,46
128,hash_only,292,1
128,lattice_only,292,43
128,hybrid,293,44
128,hash_only,293,1
128,lattice_only,293,41
128,hybrid,294,45
128,hash_only,294,1
128,lattice_only,294,42
128,hybrid,295,68
128,hash_only,295,1
128,lattice_only,295,43
128,hybrid,296,45
128,hash_only,296,1
128,lattice_only,296,43
128,hybrid,297,45
128,hash_only,297,1
128,lattice_only,297,43
128,hybrid,298,44
128,hash_only,298,1
128,lattice_only,298,43
128,hybrid,299,45
128,hash_only,299,1
128,lattice_only,299,41
128,hybrid,300,44
128,hash_only,300,1
128,lattice_only,300,41
128,hybrid,301,44
128,hash_only,301,1
128,lattice_only,301,43
128,hybrid,302,80
128,hash_only,302,1
128,lattice_only,302,42
128,hybrid,303,70
128,hash_only,303,1
128,lattice_only,303,42
128,hybrid,304,47
128,hash_only,304,1
128,lattice_only,304,43
128,hybrid,305,45
128,hash_only,305,1
128,lattice_only,305,42
128,hybrid,306,46
128,hash_only,306,1
128,lattice_only,306,43
128,hybrid,307,46
128,hash_only,307,1
128,lattice_only,307,43
128,hybrid,308,44
128,hash_only,308,1
128,lattice_only,308,50
128,hybrid,309,45
128,hash_only,309,1
128,lattice_only,309,46
128,hybrid,310,45
128,hash_only,310,1
128,lattice_only,310,41
128,hybrid,311,45
128,hash_only,311,1
128,lattice_only,311,64
128,hybrid,312,46
128,hash_only,312,1
128,lattice_only,312,42
128,hybrid,313,45
128,hash_only,313,1
128,lattice_only,313,42
128,hybrid,314,46
128,hash_only,314,1
128,lattice_only,314,43
128,hybrid,315,46
128,hash_only,315,1
128,lattice_only,315,41
128,hybrid,316,44
128,hash_only,316,1
128,lattice_only,316,49
128,hybrid,317,46
128,hash_only,317,1
128,lattice_only,317,43
128,hybrid,318,50
128,hash_only,318,1
128,lattice_only,318,42
128,hybrid,319,45
128,hash_only,319,1
128,lattice_only,319,41
128,hybrid,320,70
128,hash_only,320,1
128,lattice_only,320,43
128,hybrid,321,45
128,hash_only,321,1
128,lattice_only,321,42
128,hybrid,322,46
128,hash_only,322,1
128,lattice_only,322,43
128,hybrid,323,46
128,hash_only,323,1
128,lattice_only,323,43
128,hybrid,324,45
128,hash_only,324,1
128,lattice_only,324,41
128,hybrid,325,45
128,hash_only,325,1
128,lattice_only,325,43
128,hybrid,326,46
128,hash_only,326,1
128,lattice_only,326,62
128,hybrid,327,45
128,hash_only,327,1
128,lattice_only,327,41
128,hybrid,328,69
128,hash_only,328,1
128,lattice_only,328,42
128,hybrid,329,46
128,hash_only,329,1
128,lattice_only,329,42
128,hybrid,330,47
128,hash_only,330,1
128,lattice_only,330,41
128,hybrid,331,45
128,hash_only,331,1
128,lattice_only,331,39
128,hybrid,332,44
128,hash_only,332,1
128,lattice_only,332,43
128,hybrid,333,46
128,hash_only,333,1
128,lattice_only,333,43
128,hybrid,334,46
128,hash_only,334,1
128,lattice_only,334,48
128,hybrid,335,46
128,hash_only,335,1
128,lattice_only,335,43
128,hybrid,336,71
128,hash_only,336,1
128,lattice_only,336,42
128,hybrid,337,46
128,hash_only,337,1
128,lattice_only,337,43
128,hybrid,338,45
128,hash_only,338,1
128,lattice_only,338,41
128,hybrid,339,45
128,hash_only,339,1
128,lattice_only,339,42
128,hybrid,340,45
128,hash_only,340,1
128,lattice_only,340,43
128,hybrid,341,45
128,hash_only,341,1
128,lattice_only,341,43
128,hybrid,342,44
128,hash_only,342,1
128,lattice_only,342,47
128,hybrid,343,46
128,hash_only,343,1
128,lattice_only,343,41
128,hybrid,344,44
128,hash_only,344,1
128,lattice_only,344,44
128,hybrid,345,45
128,hash_only,345,1
128,lattice_only,345,42
128,hybrid,346,47
128,hash_only,346,1
128,lattice_only,346,43
128,hybrid,347,46
128,hash_only,347,1
128,lattice_only,347,43
128,hybrid,348,45
128,hash_only,348,1
128,lattice_only,348,41
128,hybrid,349,45
128,hash_only,349,1
128,lattice_only,349,43
128,hybrid,350,46
128,hash_only,350,1
128,lattice_only,350,47
128,hybrid,351,50
128,hash_only,351,1
128,lattice_only,351,41
128,hybrid,352,44
128,hash_only,352,1
128,lattice_only,352,67
128,hybrid,353,46
128,hash_only,353,1
128,lattice_only,353,43
128,hybrid,354,46
128,hash_only,354,1
128,lattice_only,354,43
128,hybrid,355,44
128,hash_only,355,1
128,lattice_only,355,43
128,hybrid,356,45
128,hash_only,356,1
128,lattice_only,356,43
128,hybrid,357,44
128,hash_only,357,1
128,lattice_only,357,44
128,hybrid,358,45
128,hash_only,358,1
128,lattice_only,358,43
128,hybrid,359,45
128,hash_only,359,1
128,lattice_only,359,43
128,hybrid,360,45
128,hash_only,360,1
128,lattice_only,360,43
128,hybrid,361,66
128,hash_only,361,1
128,lattice_only,361,44
128,hybrid,362,47
128,hash_only,362,1
128,lattice_only,362,42
128,hybrid,363,45
128,hash_only,363,1
128,lattice_only,363,43
128,hybrid,364,45
128,hash_only,364,1
128,lattice_only,364,43
128,hybrid,365,46
128,hash_only,365,1
128,lattice_only,365,43
128,hybrid,366,44
128,hash_only,366,1
128,lattice_only,366,41
128,hybrid,367,44
128,hash_only,367,1
128,lattice_only,367,80
128,hybrid,368,46
128,hash_only,368,1
128,lattice_only,368,42
128,hybrid,369,69
128,hash_only,369,1
128,lattice_only,369,42
128,hybrid,370,45
128,hash_only,370,1
128,lattice_only,370,43
128,hybrid,371,44
128,hash_only,371,1
128,lattice_only,371,43
128,hybrid,372,45
128,hash_only,372,1
128,lattice_only,372,41
128,hybrid,373,46
128,hash_only,373,1
128,lattice_only,373,43
128,hybrid,374,46
128,hash_only,374,1
128,lattice_only,374,43
128,hybrid,375,46
128,hash_only,375,1
128,lattice_only,375,46
128,hybrid,376,44
128,hash_only,376,1
128,lattice_only,376,42
128,hybrid,377,44
128,hash_only,377,1
128,lattice_only,377,65
128,hybrid,378,46
128,hash_only,378,1
128,lattice_only,378,42
128,hybrid,379,45
128,hash_only,379,1
128,lattice_only,379,47
128,hybrid,380,44
128,hash_only,380,1
128,lattice_only,380,43
128,hybrid,381,46
128,hash_only,381,1
128,lattice_only,381,43
128,hybrid,382,45
128,hash_only,382,1
128,lattice_only,382,41
128,hybrid,383,44
128,hash_only,383,1
128,lattice_only,383,43
128,hybrid,384,51
128,hash_only,384,1
128,lattice_only,384,41
128,hybrid,385,44
128,hash_only,385,1
128,lattice_only,385,41
128,hybrid,386,70
128,hash_only,386,1
128,lattice_only,386,42
128,hybrid,387,45
128,hash_only,387,1
128,lattice_only,387,43
128,hybrid,388,45
128,hash_only,388,1
128,lattice_only,388,43
128,hybrid,389,45
128,hash_only,389,1
128,lattice_only,389,43
128,hybrid,390,44
128,hash_only,390,1
128,lattice_only,390,43
128,hybrid,391,45
128,hash_only,391,1
128,lattice_only,391,43
128,hybrid,392,43
128,hash_only,392,1
128,lattice_only,392,46
128,hybrid,393,44
128,hash_only,393,1
128,lattice_only,393,43
128,hybrid,394,44
128,hash_only,394,1
128,lattice_only,394,42
128,hybrid,395,45
128,hash_only,395,1
128,lattice_only,395,42
128,hybrid,396,46
128,hash_only,396,1
128,lattice_only,396,42
128,hybrid,397,45
128,hash_only,397,1
128,lattice_only,397,43
128,hybrid,398,49
128,hash_only,398,1
128,lattice_only,398,41
128,hybrid,399,44
128,hash_only,399,1
128,lattice_only,399,50
128,hybrid,400,60
128,hash_only,400,1
128,lattice_only,400,90
128,hybrid,401,46
128,hash_only,401,1
128,lattice_only,401,42
128,hybrid,402,46
128,hash_only,402,1
128,lattice_only,402,43
128,hybrid,403,45
128,hash_only,403,1
128,lattice_only,403,41
128,hybrid,404,46
128,hash_only,404,1
128,lattice_only,404,41
128,hybrid,405,45
128,hash_only,405,1
128,lattice_only,405,42
128,hybrid,406,46
128,hash_only,406,1
128,lattice_only,406,43
128,hybrid,407,45
128,hash_only,407,1
128,lattice_only,407,42
128,hybrid,408,44
128,hash_only,408,1
128,lattice_only,408,47
128,hybrid,409,45
128,hash_only,409,1
