n,q,sigma,scheme,trial,latency_us
512,3329,1,hybrid,289,531
512,3329,1,lattice_only,289,514
512,3329,1,hybrid,290,492
512,3329,1,lattice_only,290,503
512,3329,1,hybrid,291,501
512,3329,1,lattice_only,291,507
512,3329,1,hybrid,292,501
512,3329,1,lattice_only,292,507
512,3329,1,hybrid,293,504
512,3329,1,lattice_only,293,511
512,3329,1,hybrid,294,502
512,3329,1,lattice_only,294,507
512,3329,1,hybrid,295,533
512,3329,1,lattice_only,295,488
512,3329,1,hybrid,296,526
512,3329,1,lattice_only,296,524
512,3329,1,hybrid,297,531
512,3329,1,lattice_only,297,480
512,3329,1,hybrid,298,525
512,3329,1,lattice_only,298,480
512,3329,1,hybrid,299,531
512,3329,1,lattice_only,299,485
512,3329,1,hybrid,300,541
512,3329,1,lattice_only,300,525
512,3329,1,hybrid,301,523
512,3329,1,lattice_only,301,486
512,3329,1,hybrid,302,519
512,3329,1,lattice_only,302,485
512,3329,1,hybrid,303,524
512,3329,1,lattice_only,303,512
512,3329,1,hybrid,304,565
512,3329,1,lattice_only,304,517
512,3329,1,hybrid,305,492
512,3329,1,lattice_only,305,531
512,3329,1,hybrid,306,493
512,3329,1,lattice_only,306,520
512,3329,1,hybrid,307,499
512,3329,1,lattice_only,307,507
512,3329,1,hybrid,308,538
512,3329,1,lattice_only,308,510
512,3329,1,hybrid,309,499
512,3329,1,lattice_only,309,508
512,3329,1,hybrid,310,498
512,3329,1,lattice_only,310,507
512,3329,1,hybrid,311,498
512,3329,1,lattice_only,311,543
512,3329,1,hybrid,312,533
512,3329,1,lattice_only,312,480
512,3329,1,hybrid,313,525
512,3329,1,lattice_only,313,480
512,3329,1,hybrid,314,524
512,3329,1,lattice_only,314,480
512,3329,1,hybrid,315,522
512,3329,1,lattice_only,315,516
512,3329,1,hybrid,316,528
512,3329,1,lattice_only,316,491
512,3329,1,hybrid,317,517
512,3329,1,lattice_only,317,486
512,3329,1,hybrid,318,519
512,3329,1,lattice_only,318,498
512,3329,1,hybrid,319,562
512,3329,1,lattice_only,319,487
512,3329,1,hybrid,320,524
512,3329,1,lattice_only,320,510
512,3329,1,hybrid,321,493
512,3329,1,lattice_only,321,512
512,3329,1,hybrid,322,493
512,3329,1,lattice_only,322,510
512,3329,1,hybrid,323,544
