n,scheme,trial,latency_us
256,hybrid,170,244
256,hash_only,170,1
256,lattice_only,170,1068
256,hybrid,171,271
256,hash_only,171,1
256,lattice_only,171,1074
256,hybrid,172,237
256,hash_only,172,1
256,lattice_only,172,1155
256,hybrid,173,237
256,hash_only,173,1
256,lattice_only,173,1080
256,hybrid,174,309
256,hash_only,174,1
256,lattice_only,174,1074
256,hybrid,175,243
256,hash_only,175,1
256,lattice_only,175,1311
256,hybrid,176,241
256,hash_only,176,1
256,lattice_only,176,1086
256,hybrid,177,267
256,hash_only,177,1
256,lattice_only,177,1065
256,hybrid,178,241
256,hash_only,178,1
256,lattice_only,178,1152
256,hybrid,179,239
256,hash_only,179,1
256,lattice_only,179,1068
256,hybrid,180,241
256,hash_only,180,1
256,lattice_only,180,1089
256,hybrid,181,239
256,hash_only,181,1
256,lattice_only,181,1284
256,hybrid,182,242
256,hash_only,182,1
256,lattice_only,182,1092
256,hybrid,183,276
256,hash_only,183,1
256,lattice_only,183,1074
256,hybrid,184,239
256,hash_only,184,1
256,lattice_only,184,1509
256,hybrid,185,245
256,hash_only,185,2
256,lattice_only,185,1119
256,hybrid,186,257
256,hash_only,186,2
256,lattice_only,186,1344
256,hybrid,187,271
256,hash_only,187,1
256,lattice_only,187,1089
256,hybrid,188,241
256,hash_only,188,7
256,lattice_only,188,1143
256,hybrid,189,240
256,hash_only,189,1
256,lattice_only,189,1077
256,hybrid,190,263
256,hash_only,190,1
256,lattice_only,190,1083
256,hybrid,191,268
256,hash_only,191,1
256,lattice_only,191,1161
256,hybrid,192,252
256,hash_only,192,1
256,lattice_only,192,1221
256,hybrid,193,272
256,hash_only,193,1
256,lattice_only,193,1134
256,hybrid,194,246
256,hash_only,194,1
256,lattice_only,194,1176
256,hybrid,195,241
256,hash_only,195,1
256,lattice_only,195,1188
256,hybrid,196,244
256,hash_only,196,1
256,lattice_only,196,1083
256,hybrid,197,241
256,hash_only,197,1
256,lattice_only,197,1131
256,hybrid,198,238
256,hash_only,198,1
256,lattice_only,198,1299
256,hybrid,199,239
256,hash_only,199,1
256,lattice_only,199,1086
512,hybrid,0,1006
512,hash_only,0,2
512,lattice_only,0,4341
512,hybrid,1,943
512,hash_only,1,1
512,lattice_only,1,4458
512,hybrid,2,940
512,hash_only,2,2
512,lattice_only,2,4248
512,hybrid,3,941
512,hash_only,3,2
