n,scheme,target_rate,latency_us,breached
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,78,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,78,0
128,hybrid,2500,47,0
128,hybrid,2500,50,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,76,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,78,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,57,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,80,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,49,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,78,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,44,0
128,hybrid,2500,44,0
128,hybrid,2500,78,0
128,hybrid,2500,46,0
128,hybrid,2500,60,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,98,0
128,hybrid,2500,51,0
128,hybrid,2500,48,0
128,hybrid,2500,47,0
128,hybrid,2500,49,0
128,hybrid,2500,48,0
128,hybrid,2500,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,50,0
128,hybrid,5000,46,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,49,0
128,hybrid,5000,47,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,50,0
128,hybrid,5000,45,0
128,hybrid,5000,44,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,47,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,51,0
128,hybrid,5000,44,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,44,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,49,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
